ishipment_id,request_id,is_courier,from_address,to_address,is_est_date,is_act_date,is_status
1,1,Canada Post,Warehouse 8 Toronto ON,Outlet 16 Vancouver BC,2/17/2025,2/18/2025,1
2,2,FedEx,Warehouse 13 Calgary AB,Outlet 19 Montreal QC,1/21/2025,1/23/2025,0
3,3,Purolator,Warehouse 13 Edmonton AB,Outlet 19 Ottawa ON,1/16/2025,1/18/2025,1
4,4,UPS,Warehouse 6 Winnipeg MB,Outlet 12 Halifax NS,1/11/2025,1/13/2025,2
5,5,Canada Post,Warehouse 11 Quebec City QC,Outlet 12 Toronto ON,1/13/2025,1/15/2025,2
6,6,FedEx,Warehouse 6 Regina SK,Outlet 16 Victoria BC,1/16/2025,1/17/2025,1
7,7,Purolator,Warehouse 6 Saskatoon SK,Outlet 16 St. John NL,1/24/2025,1/25/2025,0
8,8,UPS,Warehouse 8 Hamilton ON,Outlet 4 London ON,1/6/2025,1/8/2025,1
9,9,Canada Post,Warehouse 13 Mississauga ON,Outlet 20 Windsor ON,2/18/2025,2/19/2025,0
10,10,FedEx,Warehouse 11 Brampton ON,Outlet 1 Kitchener ON,1/17/2025,1/18/2025,0
11,11,Purolator,Warehouse 6 Markham ON,Outlet 14 Vaughan ON,1/9/2025,1/10/2025,1
12,12,UPS,Warehouse 18 Gatineau QC,Outlet 17 Longueuil QC,2/13/2025,2/15/2025,1
13,13,Canada Post,Warehouse 6 Burnaby BC,Outlet 17 Richmond BC,2/5/2025,2/6/2025,1
14,14,FedEx,Warehouse 8 Saskatoon SK,Outlet 16 Sudbury ON,1/14/2025,1/15/2025,0
15,15,Purolator,Warehouse 18 Windsor ON,Outlet 4 Sherbrooke QC,1/21/2025,1/23/2025,0
16,16,UPS,Warehouse 18 St. Catharines ON,Outlet 19 Kingston ON,1/15/2025,1/16/2025,2
17,17,Canada Post,Warehouse 18 Barrie ON,Outlet 4 Kelowna BC,2/4/2025,2/5/2025,2
18,18,FedEx,Warehouse 18 Trois-Rivi¨¨res QC,Outlet 1 Moncton NB,1/16/2025,1/18/2025,0
19,19,Purolator,Warehouse 18 Guelph ON,Outlet 5 Fredericton NB,1/6/2025,1/7/2025,0
20,20,UPS,Warehouse 7 Lethbridge AB,Outlet 14 Saint John NB,1/14/2025,1/16/2025,2
