ptype_id,name,description,unit,unit_price,currency_id,category
1,Sapiente,Doloribus similique modi dignissimos distinctio quod laboriosam ut.,L,33.95,1,Soluta
2,Unde,Molestiae veritatis molestias amet eius ullam aspernatur.,L,72.73,1,Iure
3,Tempore,Adipisci illum accusantium similique alias provident.,L,73.71,1,Amet
4,Expedita,Cupiditate tempore laudantium necessitatibus.,box,97.91,1,Nemo
5,Dicta,Unde voluptatibus quos rerum.,L,12.48,1,Fugit
6,Voluptatum,Optio earum impedit dolores.,L,32.88,1,Unde
7,Aliquam,Optio maiores ipsam repudiandae nisi perspiciatis.,unit,60.22,1,Accusantium
8,Sed,Voluptatum accusamus beatae debitis occaecati esse dolorem consequuntur.,L,95.78,1,Ullam
9,Eos,Vel et iste suscipit quos asperiores sunt porro.,kg,63.96,1,Assumenda
10,Sunt,Quos veniam vel numquam officia consectetur ipsum ipsa.,unit,30.49,1,Voluptates
11,Alias,Illum ipsum dolor impedit mollitia voluptates facilis laudantium nemo unde.,box,55.8,1,Consequatur
12,Non,Ipsum ducimus expedita dicta eius explicabo dolor.,box,72.04,1,Aliquam
13,Ipsum,Magnam perspiciatis esse unde iure eius.,box,89.82,1,Officiis
14,Beatae,Eius itaque aliquid consequuntur aliquam.,kg,49.4,1,Excepturi
15,Vel,Ipsa fugit dolore et dolor.,box,87.41,1,Aspernatur
16,Perspiciatis,Dignissimos beatae iure quasi quae doloremque eius blanditiis temporibus laborum.,kg,9.54,1,Molestias
17,Numquam,Doloribus adipisci est debitis voluptates distinctio.,box,71.28,1,Incidunt
18,Incidunt,Adipisci quia ratione architecto veniam architecto aliquam.,unit,75.48,1,Necessitatibus
19,Culpa,Consequuntur eos ut molestiae tempora rem itaque molestias.,L,86.19,1,Laborum
20,Similique,Consectetur tempore nemo tenetur ipsa ipsa error laborum.,kg,54.32,1,Debitis
21,Hic,Earum fugit necessitatibus repellendus iste optio iure.,kg,38.84,1,Voluptas
22,Ducimus,Tempore itaque distinctio molestias sed ad quis.,unit,81.73,1,Nesciunt
23,Exercitationem,Nulla est provident reprehenderit beatae ut dolore blanditiis officiis.,unit,54.78,1,Repudiandae
24,Voluptatum,Natus hic ut vero praesentium.,L,49.12,1,Enim
25,Deserunt,Natus ex dolores excepturi odit eum architecto.,box,39.05,1,Tempora
26,Consequatur,Perferendis nam ea aliquam in possimus exercitationem ipsum aspernatur.,unit,88.87,1,Explicabo
27,Quidem,Nisi ipsum pariatur eos exercitationem vero similique reprehenderit.,L,50.84,1,Sapiente
28,Harum,Quasi possimus laborum labore magni numquam similique minima laborum laborum.,kg,70.6,1,Odio
29,Ut,Molestiae autem autem reprehenderit non fugiat.,L,29.01,1,Tempora
30,Unde,Iste unde quasi alias quam.,box,65.52,1,Nostrum
31,A,Assumenda repellendus expedita sed similique corporis dolorum quos nulla.,box,26.3,1,Eius
32,Sequi,Ipsam dicta repudiandae odio maxime voluptatem consectetur temporibus inventore.,unit,27.71,1,Facere
33,Corrupti,Ab quo distinctio reprehenderit qui sed temporibus consequuntur atque tempora.,box,25.68,1,Laudantium
34,Rerum,Incidunt pariatur quisquam deleniti quibusdam totam a nulla.,L,99.12,1,Atque
35,Ad,Itaque praesentium eum vel non culpa.,box,29.05,1,Tempore
36,Eum,Voluptas numquam natus vitae expedita illo ipsam.,kg,79.22,1,Facere
37,Officiis,Quo doloribus earum aperiam molestiae dignissimos.,box,68.34,1,Ea
38,Aliquid,Laboriosam eum quibusdam ipsa sunt eos doloremque commodi delectus officiis.,kg,69.25,1,At
39,Incidunt,Velit odio sunt recusandae reprehenderit facere illo.,unit,55.63,1,Modi
40,Reiciendis,Nisi doloribus et illo repudiandae.,L,20.76,1,Ducimus
41,Vel,Eaque eum laudantium expedita assumenda nam mollitia ea pariatur similique.,kg,22.37,1,Illum
42,Perferendis,Laboriosam dolorem accusantium id dicta laborum fuga quia doloremque.,kg,29.36,1,Repellat
43,Error,At odio voluptatum illum impedit.,unit,10.24,1,Asperiores
44,Distinctio,At ex laboriosam earum enim eum.,kg,27.65,1,Est
45,Libero,Sed animi totam rerum quos suscipit deleniti odit consequuntur.,unit,26.37,1,Eligendi
46,Praesentium,Culpa voluptates voluptate aliquam ipsa iste neque.,kg,71.9,1,Harum
47,Excepturi,Repellat fugiat perspiciatis eos quibusdam nobis.,box,98.29,1,Officiis
48,Aliquam,Consectetur illo excepturi ab repudiandae molestias.,L,99.25,1,Quae
49,Quam,Libero iure ad id eaque.,box,28.31,1,Mollitia
50,Esse,Eligendi delectus numquam blanditiis occaecati ipsa delectus nulla aut iste.,box,6.55,1,Quod
