complaint_id,customer_id,po_id,issue_desc,res_desc,res_status,res_date,complain_handler
1,62,11,In ut adipisci nesciunt incidunt rem aliquam quia atque blanditiis.,,0,2025-02-09,78
2,79,18,Animi eum mollitia eaque maiores officiis vitae qui quia ad magni.,Id ut quos autem laboriosam officia debitis reiciendis sed beatae.,2,,
3,28,23,Porro rerum omnis maxime mollitia impedit exercitationem inventore ea.,Ipsum illo recusandae vitae nihil.,2,,
4,98,52,Reiciendis possimus omnis perferendis placeat tempora voluptatem cum quisquam.,,2,2025-01-11,83
5,84,11,Error cupiditate laudantium repellat aliquam dolorum similique doloremque velit hic.,,1,2025-01-04,
6,86,93,Vel neque ut quas quae laborum.,Sunt ab hic nulla non officiis amet accusamus ea corrupti.,0,2025-01-23,17
7,5,58,Omnis incidunt similique ut optio unde aspernatur.,,0,2025-02-07,
8,71,96,Voluptas nostrum dolorem dolorum quis ad corporis quibusdam quo ullam est.,Quis sint iure dolor.,0,2025-01-01,17
9,83,36,Aspernatur dolores sint vero distinctio veritatis unde eos excepturi non.,,0,2025-01-25,22
10,59,54,Totam velit eligendi possimus porro sint sapiente.,Aspernatur minus eum corrupti ullam perspiciatis harum laborum.,2,2025-02-15,91
11,14,32,Exercitationem neque enim nobis voluptate veniam est omnis.,,1,2025-01-05,85
12,88,14,Accusamus nisi provident laborum itaque quam necessitatibus totam ad doloremque doloribus laboriosam.,Et voluptates itaque amet vel tenetur quam voluptates aspernatur veniam.,1,,61
13,50,61,Cum impedit fugit inventore necessitatibus ducimus.,,2,,
14,51,51,Nesciunt labore libero cupiditate facilis vero rerum quia.,,1,2025-01-08,12
15,25,41,Beatae ab consequuntur non amet eum ab.,,2,2025-01-08,
16,42,51,Facere maxime veritatis accusamus sit debitis sint maxime nihil sit optio assumenda.,,0,2025-01-18,8
17,99,78,Repellat dignissimos omnis officiis non mollitia error eaque praesentium fugit dignissimos reiciendis eos.,Dicta odit numquam cumque eum.,0,2025-01-09,24
18,30,70,Possimus totam dolores iusto quasi natus dignissimos corporis.,,0,2025-01-05,74
19,31,47,Expedita nostrum laboriosam culpa expedita et laboriosam.,,0,2025-01-06,5
20,19,25,Enim id fuga repellendus natus explicabo sint error.,,1,2025-01-14,34
21,34,52,Quos exercitationem tempora amet harum quas minus.,Dolorum quo officia ducimus consequuntur quas harum.,0,2025-02-03,
22,13,29,Dicta sunt facere molestiae quisquam officia ad.,Rerum vero voluptas alias expedita nostrum expedita provident.,2,,12
23,92,8,Veritatis porro ducimus perferendis aliquam mollitia eum similique fuga dolor.,Iste minus voluptates numquam assumenda ratione iste doloribus neque.,2,2025-01-30,
24,59,40,Reiciendis officia distinctio impedit illum dolore dolorum fugiat.,,2,2025-01-18,64
25,96,64,Voluptates quidem eligendi molestiae deserunt deserunt autem ducimus iste minima maxime facere voluptatem.,Quasi laudantium corporis vitae sit cupiditate odio laboriosam alias vero.,1,,
26,22,47,Laudantium veniam beatae aut magnam laborum aut.,,1,2025-02-11,65
27,35,43,A similique nulla nulla temporibus a quis facere placeat quia.,Aliquid pariatur pariatur eligendi atque totam quam.,1,,85
28,24,4,Est saepe cupiditate quod qui similique officiis quae nesciunt placeat ad ut laudantium.,Facilis reiciendis cupiditate quam alias similique.,1,,69
29,29,75,Quae aliquid ab temporibus provident rem voluptatem rerum cum esse officiis numquam exercitationem.,Reprehenderit doloribus magnam neque eaque repellat doloremque.,2,,
30,96,35,Eius quibusdam provident nemo optio dolorem itaque recusandae qui iusto corporis ipsum quibusdam.,,2,2025-02-08,9
31,86,85,Vel illum in suscipit fugiat quidem nemo quas eum.,Non illo minus ea molestiae architecto ducimus minus.,2,2025-01-23,78
32,75,49,Dicta non impedit reprehenderit nesciunt expedita ducimus odit commodi.,,0,,97
33,54,33,Iusto accusamus fugit quod sunt eos fugiat deserunt reiciendis voluptate consectetur soluta animi.,,2,,79
34,66,53,Amet molestias accusantium ullam molestiae pariatur expedita molestias perspiciatis.,,1,2025-01-24,22
35,99,57,Minima facilis architecto molestias veritatis veritatis quod.,Facere architecto delectus pariatur assumenda suscipit.,2,2025-02-04,78
36,57,9,Rerum aperiam unde repudiandae temporibus harum cumque non labore praesentium nihil.,,2,2025-02-13,
