product_id,request_id,quantity,unit
77,15,10,L
199,42,18,kg
105,29,28,L
130,11,49,L
99,57,45,L
89,14,1,unit
5,69,33,kg
132,1,5,L
189,40,24,L
15,39,49,L
69,19,20,box
132,36,41,kg
48,49,37,kg
45,68,44,L
51,47,17,unit
125,70,45,box
46,62,7,L
102,35,49,unit
7,65,48,L
124,50,43,kg
131,12,30,L
143,38,25,kg
174,26,3,box
88,52,33,unit
128,10,28,kg
108,48,27,unit
57,8,20,L
185,83,49,L
5,64,10,unit
118,15,3,unit
32,19,36,L
55,45,11,box
62,76,12,unit
143,13,4,kg
182,47,13,kg
142,72,5,box
35,28,5,unit
131,41,31,box
26,36,15,L
173,30,4,kg
164,17,40,unit
98,46,39,L
92,71,44,unit
170,11,35,unit
162,51,46,kg
104,4,2,unit
83,63,40,kg
138,8,19,L
78,80,25,kg
27,6,27,L
173,65,17,box
167,28,27,box
46,45,5,L
40,42,32,box
120,26,5,L
36,9,40,kg
72,70,37,box
134,41,39,unit
116,21,39,L
17,61,10,kg
130,46,45,kg
59,80,45,kg
53,29,16,box
148,62,44,kg
151,79,46,unit
194,71,3,kg
195,80,8,box
53,47,26,unit
195,35,47,unit
76,38,7,unit
109,42,19,box
11,44,15,box
123,32,14,box
187,16,32,kg
194,50,9,kg
116,36,29,L
134,68,48,box
135,56,22,unit
17,50,2,kg
196,43,9,unit
194,13,1,unit
164,16,13,kg
118,82,48,unit
175,64,8,unit
22,67,19,unit
125,42,9,unit
81,63,44,box
66,55,44,box
40,39,19,L
30,28,45,unit
162,3,5,unit
166,28,28,box
64,23,20,unit
41,75,22,unit
67,34,6,kg
140,81,31,unit
145,6,31,L
82,56,3,box
126,48,23,kg
28,13,42,box
18,33,5,box
147,5,12,box
70,26,2,unit
139,36,19,kg
7,28,31,L
104,59,17,box
160,10,10,unit
181,39,28,box
45,16,13,L
181,69,46,L
92,46,16,unit
16,22,41,kg
93,19,9,box
32,47,28,kg
79,37,35,box
182,11,16,kg
94,22,22,kg
123,1,47,box
46,35,25,kg
55,2,11,L
7,39,50,kg
114,12,12,box
106,83,9,L
35,17,23,box
71,33,14,unit
8,77,47,kg
180,81,22,L
