product_id,outlet_id,quantity,unit
141,20,7,L
154,16,18,L
56,12,38,box
184,20,8,L
26,19,19,unit
188,17,19,kg
51,16,36,kg
156,17,37,L
194,16,12,unit
16,19,13,kg
190,14,24,box
142,17,21,box
120,20,2,box
65,14,20,L
18,12,45,box
30,20,24,L
144,16,27,unit
10,17,46,L
105,14,6,L
13,19,14,unit
10,20,49,L
166,20,27,unit
75,12,12,L
14,17,25,L
52,5,46,box
79,19,35,unit
101,5,24,box
35,12,22,box
91,5,10,kg
187,20,23,L
61,19,14,unit
133,12,45,unit
181,5,27,L
156,12,15,box
54,4,5,L
170,5,6,box
148,5,1,unit
29,20,16,unit
19,4,46,box
171,14,13,unit
128,5,12,unit
100,16,29,unit
28,20,14,box
164,4,4,unit
47,4,30,box
6,19,36,kg
172,5,29,box
