product_id,ptype_id,batch_no,current_price,bbf_date
1,4,BATCH-0852609,54.79,2025-02-24
2,41,BATCH-5704983,68.76,2025-03-01
3,24,BATCH-2555094,28.43,2025-03-15
4,49,BATCH-4763873,45.66,2025-03-10
5,22,BATCH-6895626,75.81,2025-03-08
6,43,BATCH-5844576,15.85,2025-03-13
7,45,BATCH-3900877,10.28,2025-03-10
8,47,BATCH-2809201,54.61,2025-03-13
9,12,BATCH-5655618,56.93,2025-02-23
10,2,BATCH-3812594,79.14,2025-03-02
11,45,BATCH-9907074,19.86,2025-03-14
12,9,BATCH-4054334,75.26,2025-03-14
13,26,BATCH-2370684,61.42,2025-03-13
14,20,BATCH-4909480,20.44,2025-02-18
15,31,BATCH-5215911,34.13,2025-03-07
16,29,BATCH-6918647,69.45,2025-03-15
17,15,BATCH-4266371,69.71,2025-02-25
18,32,BATCH-2956897,27.5,2025-03-03
19,49,BATCH-9569071,36.58,2025-02-20
20,42,BATCH-9101017,21.25,2025-02-19
21,14,BATCH-6731328,17.49,2025-02-26
22,50,BATCH-5365322,19.23,2025-03-16
23,49,BATCH-3612984,21.93,2025-03-07
24,7,BATCH-5457850,94.05,2025-02-24
25,12,BATCH-4566443,13.16,2025-03-15
26,31,BATCH-5718646,20.39,2025-02-20
27,16,BATCH-5865403,93.27,2025-02-21
28,28,BATCH-6551726,80.82,2025-03-14
29,25,BATCH-5661835,98.69,2025-03-08
30,16,BATCH-9566232,99.64,2025-03-13
31,26,BATCH-5740505,79.76,2025-03-04
32,7,BATCH-1670515,72.84,2025-02-25
33,32,BATCH-1787905,30.88,2025-02-27
34,34,BATCH-5614627,97.45,2025-02-22
35,25,BATCH-4588420,87.04,2025-03-05
36,23,BATCH-2089122,64.54,2025-02-22
37,24,BATCH-6183911,88.37,2025-02-23
38,38,BATCH-6277102,9.44,2025-03-09
39,12,BATCH-8661922,73.11,2025-02-24
40,13,BATCH-6995427,78.22,2025-03-10
41,20,BATCH-1734751,82.98,2025-03-14
42,28,BATCH-3817879,25.55,2025-02-20
43,39,BATCH-0954752,97.9,2025-02-19
44,5,BATCH-3333065,77.41,2025-02-22
45,35,BATCH-6557925,52.67,2025-02-22
46,3,BATCH-8446219,48.81,2025-02-23
47,3,BATCH-3468959,70.93,2025-03-02
48,47,BATCH-9377482,45.65,2025-03-17
49,12,BATCH-4593393,33.64,2025-03-04
50,47,BATCH-8187150,32.81,2025-03-17
51,12,BATCH-9432738,91.58,2025-02-22
52,39,BATCH-0685576,23.94,2025-02-18
53,46,BATCH-5102702,67.78,2025-02-25
54,35,BATCH-9301131,24.3,2025-02-24
55,5,BATCH-7911338,37.79,2025-03-05
56,43,BATCH-5066924,61.62,2025-03-09
57,1,BATCH-2445247,78.51,2025-03-14
58,6,BATCH-0211981,40.93,2025-02-24
59,37,BATCH-6528423,14.19,2025-03-09
60,39,BATCH-8809873,29.55,2025-03-12
61,8,BATCH-1301386,37.74,2025-02-18
62,26,BATCH-1504627,7.78,2025-02-24
63,47,BATCH-1585135,5.67,2025-03-18
64,29,BATCH-7185762,52.44,2025-02-20
65,18,BATCH-2124707,97.55,2025-03-14
66,45,BATCH-2898056,6.96,2025-03-02
67,39,BATCH-7573811,93.39,2025-03-16
68,31,BATCH-5971670,65.32,2025-02-20
69,10,BATCH-5409226,74.29,2025-03-10
70,48,BATCH-0959888,42.73,2025-02-19
71,43,BATCH-5086530,37.97,2025-03-18
72,12,BATCH-4867457,80.8,2025-03-17
73,26,BATCH-9023884,69.47,2025-03-08
74,23,BATCH-0059772,76.48,2025-02-24
75,26,BATCH-6940125,24.59,2025-03-11
