po_id,product_id,quantity,unit
100,88,1,unit
95,1,10,box
96,36,9,unit
70,200,7,box
68,81,8,kg
41,94,8,unit
48,139,3,unit
69,128,7,kg
36,59,10,L
30,84,8,L
42,150,9,unit
52,44,9,L
71,177,10,L
78,177,6,box
35,200,3,box
44,36,6,kg
94,116,7,unit
14,175,8,kg
91,147,1,L
8,111,9,L
82,20,7,L
39,101,7,box
6,106,6,unit
24,87,2,unit
84,68,7,box
20,145,8,L
97,31,10,L
29,170,3,L
92,143,8,box
2,15,10,box
100,67,3,L
89,100,8,L
50,121,9,box
48,38,6,box
49,134,7,L
51,110,10,kg
97,147,10,L
30,71,4,box
54,156,6,L
38,175,3,unit
82,116,5,box
76,171,6,unit
98,167,6,L
8,177,8,unit
6,153,5,unit
26,51,8,unit
96,26,6,kg
73,183,6,kg
35,158,7,unit
10,17,6,box
97,187,7,unit
40,184,7,kg
1,122,6,L
73,46,2,kg
64,7,6,L
24,66,2,box
99,67,9,box
38,189,10,unit
81,20,3,kg
59,177,5,box
40,145,7,unit
11,83,9,box
15,133,6,unit
3,188,10,unit
73,160,10,box
80,88,10,box
18,144,1,kg
74,4,5,unit
39,94,3,L
93,103,5,L
43,89,9,unit
79,147,8,kg
4,100,1,kg
11,161,4,unit
21,28,6,L
57,189,9,unit
75,76,1,kg
46,137,4,L
32,158,4,L
7,184,2,kg
57,134,10,L
15,155,9,unit
11,54,10,L
77,22,4,kg
96,27,10,L
84,190,8,kg
98,164,2,L
73,38,8,box
48,59,4,box
88,40,5,kg
26,96,2,unit
86,27,9,box
66,69,5,kg
19,74,9,L
53,46,6,box
84,182,3,box
35,114,9,unit
21,158,4,kg
98,107,2,unit
46,49,4,box
71,81,3,kg
75,155,10,unit
89,182,6,kg
42,166,1,kg
74,170,8,box
32,80,6,L
98,166,3,box
30,164,7,kg
20,199,6,kg
7,25,9,L
61,167,3,L
23,40,3,kg
35,144,6,box
58,177,7,kg
23,43,8,unit
33,60,4,box
81,2,1,unit
3,39,6,L
78,72,9,L
62,45,3,L
51,173,8,box
61,49,3,unit
87,147,1,unit
97,192,5,kg
61,76,10,box
84,23,6,unit
48,109,8,box
4,147,10,kg
89,33,1,kg
58,167,3,L
70,26,10,box
94,180,10,unit
53,138,9,L
27,134,4,unit
91,185,7,L
29,123,9,L
26,59,7,L
58,26,3,L
35,65,4,box
62,13,6,unit
64,55,4,box
49,7,10,unit
97,91,5,box
86,29,8,kg
27,57,1,L
92,147,8,box
18,198,5,L
97,168,9,box
5,53,1,kg
43,185,1,unit
70,88,2,L
70,30,3,kg
